Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-4165.074	-4586.027	420.9522	1.355669	0.7732641	3.338199
6	-4162.847	-4582.76	419.9132	1.25347	0.5342188	4.186521
12	-4155.087	-4575.767	420.6805	1.341906	0.5381475	3.692774
18	-4148.044	-4569.039	420.9958	1.315655	0.6825707	3.403468
24	-4160.112	-4580.77	420.6581	1.263937	0.6899967	3.62479
30	-4146.135	-4568.278	422.1431	1.40552	0.6302211	2.705904
36	-4149.693	-4571.983	422.2898	1.557288	0.9283152	2.293293
42	-4144.832	-4567.331	422.4995	1.512609	0.6479313	2.402358
48	-4148.215	-4569.683	421.468	1.388143	0.6463128	3.11067
54	-4146.686	-4568.273	421.5872	1.426732	0.6441199	3.018181
60	-4158.991	-4579.794	420.8022	1.216083	0.8416248	3.460971
66	-4155.923	-4576.915	420.9912	1.220749	0.6835623	3.460971
72	-4148.406	-4569.266	420.8604	1.27024	1.03012	3.278479
78	-4148.773	-4570.218	421.4447	1.301925	0.7701374	3.080559
84	-4150.996	-4572.072	421.076	1.288657	0.8166643	3.27443
90	-4150.827	-4572.626	421.7986	1.487599	0.7350036	2.781357
96	-4147.413	-4569.719	422.3063	1.490409	0.9631151	2.302284
102	-4163.663	-4585.248	421.5855	1.369818	0.8795119	2.879246
108	-4153.038	-4574.834	421.7954	1.394678	0.736459	2.838755
114	-4153.34	-4575.024	421.6838	1.384587	0.8382653	2.838755
120	-4157.494	-4579.139	421.6448	1.374232	0.9022604	2.825619
126	-4153.939	-4575.807	421.8684	1.387135	0.6564395	2.862451
132	-4157.505	-4579.132	421.6269	1.452546	0.5926309	3.022838
138	-4144.862	-4567.13	422.2676	1.420498	0.8043151	2.481239
144	-4144.261	-4566.527	422.266	1.513843	0.7290341	2.481239
150	-4136.452	-4558.381	421.9293	1.342568	0.6486505	2.858995
156	-4138.995	-4560.482	421.4877	1.321259	0.6522662	3.133913
162	-4125.74	-4547	421.2597	1.246823	0.9017067	3.133913
168	-4130.665	-4552.218	421.5526	1.342866	0.8552134	2.931744
174	-4131.867	-4553.343	421.4753	1.342866	0.9260784	2.931744
180	-4131.625	-4553.419	421.794	1.297354	0.9659968	2.740624
186	-4135.984	-4558.323	422.3397	1.436849	1.094382	2.232736
192	-4135.001	-4557.602	422.6015	1.536193	1.094382	1.996176
198	-4146.389	-4568.896	422.5068	1.515769	1.013236	2.123707
204	-4136.899	-4559.356	422.4572	1.473206	1.024584	2.176441
210	-4151.213	-4573.565	422.3524	1.401087	0.9091696	2.365866
216	-4149.617	-4572.086	422.4699	1.484402	0.8656513	2.268192
222	-4145.117	-4567.833	422.7158	1.577297	1.036829	1.928698
228	-4129.525	-4551.894	422.3692	1.448923	0.7583222	2.434298
234	-4139.886	-4562.205	422.3187	1.423911	0.8109726	2.442111
240	-4139.719	-4561.857	422.1374	1.387728	0.860285	2.542928
246	-4146.423	-4568.173	421.7501	1.422769	0.7573551	2.833445
252	-4156.587	-4578.474	421.8867	1.455157	0.5927511	2.864717
258	-4158.759	-4580.156	421.3978	1.414858	0.6086291	3.168102
264	-4159.391	-4581.631	422.2406	1.562576	0.5637698	2.608891
270	-4154.046	-4575.98	421.9349	1.417522	0.7147556	2.756677
276	-4150.805	-4573.16	422.3556	1.430987	0.8565009	2.381549
282	-4152.729	-4575.11	422.3811	1.478736	0.8289621	2.354945
288	-4155.665	-4578.013	422.3473	1.558766	0.7315516	2.399832
294	-4141.519	-4562.768	421.2491	1.412117	0.5398895	3.318635
300	-4139.3	-4560.265	420.9651	1.336928	0.6829842	3.408675
306	-4150.156	-4570.678	420.5223	1.249517	0.7742206	3.650329
312	-4159.686	-4581.297	421.6112	1.366321	1.231284	2.658332
318	-4159.457	-4580.941	421.4843	1.313533	1.210929	2.779152
324	-4149.855	-4572.179	422.3238	1.527769	1.1042	2.178281
330	-4151.857	-4574.474	422.6171	1.612127	0.860745	2.093323
336	-4146.526	-4569.477	422.9511	1.645564	0.7464342	1.938502
342	-4163.936	-4584.859	420.9226	1.291174	0.7411272	3.416638
348	-4167.266	-4587.629	420.3622	1.299805	0.7986475	3.696997
354	-4159.392	-4582.008	422.6155	1.582072	1.103815	1.95019
360	-4150.928	-4573.801	422.873	1.582072	0.8515212	1.95019
366	-4153.95	-4575.865	421.9149	1.543928	0.8311311	2.604548
372	-4148.73	-4571.449	422.7191	1.502032	0.7175179	2.210005
378	-4142.896	-4564.76	421.8641	1.529705	0.8297945	2.645657
384	-4143.226	-4564.755	421.5296	1.417098	0.6651275	3.041271
390	-4143.218	-4562.926	419.7081	1.324729	0.5783215	4.224026
396	-4130.642	-4550.513	419.8706	1.235559	0.5381188	4.217337
402	-4137.696	-4557.402	419.7058	1.235559	0.5487439	4.301321
408	-4142.28	-4562.659	420.3793	1.347415	0.5695605	3.835395
414	-4141.269	-4561.108	419.8393	1.290885	0.5570847	4.187026
420	-4121.723	-4542.592	420.8693	1.330915	0.5570847	3.572689
426	-4129.806	-4551.17	421.3639	1.334702	0.7657011	3.11239
432	-4142.764	-4563.521	420.757	1.443746	0.6381149	3.503497
438	-4144.772	-4565.626	420.8544	1.410003	0.4078202	3.682795
444	-4145.922	-4567.449	421.5268	1.329197	0.7474821	3.031784
450	-4142.867	-4564.812	421.9451	1.458114	0.8271536	2.641749
456	-4140.098	-4561.57	421.4717	1.425611	0.6140673	3.113101
462	-4135.081	-4556.415	421.3337	1.363488	0.6852237	3.173965
468	-4131.149	-4552.597	421.4476	1.378226	0.7975812	3.013536
474	-4143.196	-4564.155	420.9589	1.257484	0.7752173	3.390558
480	-4139.557	-4560.681	421.1238	1.290925	0.8088098	3.250294
486	-4139.397	-4560.608	421.2106	1.270576	0.7800897	3.231119
492	-4140.888	-4561.385	420.4966	1.264887	0.6900522	3.717672
498	-4147.472	-4568.368	420.8963	1.259578	0.6401445	3.528016
504	-4153.442	-4574.776	421.3341	1.30211	0.8463753	3.093154
510	-4148.998	-4569.978	420.9805	1.308817	0.8121137	3.321941
516	-4140.497	-4562.142	421.6447	1.355233	0.9429778	2.810927
522	-4143.564	-4564.919	421.355	1.342368	0.7444537	3.12872
528	-4130.838	-4552.196	421.3579	1.366253	0.7231416	3.12872
534	-4137.776	-4558.902	421.1264	1.315813	0.8719038	3.191492
540	-4142.841	-4563.749	420.9083	1.366121	0.7115309	3.403041
546	-4145.683	-4565.851	420.168	1.325023	0.5889699	3.952887
552	-4141.238	-4561.968	420.7304	1.260125	0.7232431	3.560077
558	-4138.835	-4559.071	420.2359	1.261923	0.7987934	3.791632
564	-4141.617	-4561.912	420.2952	1.193824	0.8062968	3.791632
